group	individual	noise	subj_id	dataset	atlas
0.012096778841477897	0.07549250761747664	0.9124107135410455	sub-01	Language	MNISymDentate1
0.003946872988617757	0.036673920106294944	0.9593792069050874	sub-02	Language	MNISymDentate1
-0.0012197984053824514	-0.00648259990473657	1.0077023983101192	sub-03	Language	MNISymDentate1
0.009059790244029439	0.018516926016690815	0.9724232837392798	sub-04	Language	MNISymDentate1
0.0067932884811142446	0.042129455939230634	0.9510772555796553	sub-06	Language	MNISymDentate1
0.0029533109433763477	0.035287268384311586	0.961759420672312	sub-07	Language	MNISymDentate1
0.007102376134283977	0.019262827620903335	0.9736347962448128	sub-08	Language	MNISymDentate1
0.00734646963748119	0.015431588632154188	0.9772219417303646	sub-09	Language	MNISymDentate1
0.008364534831248247	0.028555883176176276	0.9630795819925755	sub-10	Language	MNISymDentate1
0.007296653073428078	0.012972168370209702	0.9797311785563622	sub-12	Language	MNISymDentate1
0.010808233406134562	0.016185982036032057	0.9730057845578335	sub-13	Language	MNISymDentate1
0.006820397294111987	0.04381236712269777	0.9493672355831902	sub-14	Language	MNISymDentate1
0.007015244070978768	0.0442508255539034	0.9487339303751178	sub-15	Language	MNISymDentate1
0.0071439632043086366	0.007450829798710143	0.9854052069969812	sub-16	Language	MNISymDentate1
0.012574573485014496	0.031361085217031306	0.9560643412979541	sub-17	Language	MNISymDentate1
0.004301677432503342	0.007394529248132583	0.9883037933193641	sub-18	Language	MNISymDentate1
0.007066658739876652	0.05409609853474943	0.938837242725374	sub-19	Language	MNISymDentate1
0.026311760673111084	0.06435053567832454	0.9093377036485645	sub-01	Language	MNISymCereb2
0.03431957208940182	0.1349907285255762	0.8306896993850221	sub-02	Language	MNISymCereb2
0.007741575250916226	-0.016643868412951117	1.0089022931620348	sub-03	Language	MNISymCereb2
0.029926174489771255	0.0881302590992738	0.881943566410955	sub-04	Language	MNISymCereb2
0.03654922807296305	0.09403729222487733	0.8694134797021595	sub-06	Language	MNISymCereb2
0.05426764834700348	0.13786459741359974	0.8078677542393968	sub-07	Language	MNISymCereb2
0.04020057937100257	0.14037629433764273	0.8194231262913547	sub-08	Language	MNISymCereb2
0.03150890621673787	0.04717310877725146	0.9213179850060107	sub-09	Language	MNISymCereb2
0.03159547498277398	0.07736163494374601	0.89104289007348	sub-10	Language	MNISymCereb2
0.043475530776087325	0.09671218939481126	0.8598122798291015	sub-12	Language	MNISymCereb2
0.0338253513491039	0.08094832555162244	0.8852263230992737	sub-13	Language	MNISymCereb2
0.03272873846452029	0.08930340175822217	0.8779678597772576	sub-14	Language	MNISymCereb2
0.040463261864574974	0.10640664122544044	0.8531300969099845	sub-15	Language	MNISymCereb2
0.03552489351457274	0.07440892443308236	0.8900661820523449	sub-16	Language	MNISymCereb2
0.056287474666910316	0.1388293779930296	0.8048831473400602	sub-17	Language	MNISymCereb2
0.03185057427492844	0.07069145672722713	0.8974579689978444	sub-18	Language	MNISymCereb2
0.04222443118905026	0.10916475049132646	0.8486108183196233	sub-19	Language	MNISymCereb2
0.020948537352007197	0.0293392456769663	0.9497122169710266	sub-01	Language	MNISymThalamus1
0.01604852950968898	0.06862687246269036	0.9153245980276207	sub-02	Language	MNISymThalamus1
0.0052040372585770035	-0.012091047301426664	1.0068870100428498	sub-03	Language	MNISymThalamus1
0.029367741833879798	0.020940930461183	0.9496913277049372	sub-04	Language	MNISymThalamus1
0.020726196500379785	0.018667891088105647	0.9606059124115146	sub-06	Language	MNISymThalamus1
0.024817025523301874	0.0439355908743785	0.9312473836023196	sub-07	Language	MNISymThalamus1
0.024108352743877067	0.041168032749687604	0.9347236145064353	sub-08	Language	MNISymThalamus1
0.01841192546515508	0.006447380917245948	0.975140693617599	sub-09	Language	MNISymThalamus1
0.022267914078606472	0.0345614732619045	0.943170612659489	sub-10	Language	MNISymThalamus1
0.02532083132363014	0.026293886399969792	0.9483852822764001	sub-12	Language	MNISymThalamus1
0.029372467870332063	0.0344196534263055	0.9362078787033624	sub-13	Language	MNISymThalamus1
0.028209649768602966	0.055567530165332564	0.9162228200660645	sub-14	Language	MNISymThalamus1
0.02567253094292987	0.030470070733714702	0.9438573983233555	sub-15	Language	MNISymThalamus1
0.018033424561747145	0.012691563051374229	0.9692750123868786	sub-16	Language	MNISymThalamus1
0.03035211152226469	0.06665063456704601	0.9029972539106893	sub-17	Language	MNISymThalamus1
0.020876802197794912	0.029060767905712156	0.9500624298964929	sub-18	Language	MNISymThalamus1
0.028082743610211545	0.03992108505404722	0.9319961713357413	sub-19	Language	MNISymThalamus1
0.004371282421277025	0.03482058057427426	0.9608081370044487	sub-01	Language	MNISymPontine1
0.007795410509260975	0.12295542661732205	0.869249162873417	sub-02	Language	MNISymPontine1
-0.0023182177834191755	-0.004852674345730016	1.0071708921291491	sub-03	Language	MNISymPontine1
-0.0017594425674696567	0.029620959691967708	0.972138482875502	sub-04	Language	MNISymPontine1
0.0003452408896081689	0.014924314474158743	0.984730444636233	sub-06	Language	MNISymPontine1
0.009339197720557232	0.0872399299870857	0.903420872292357	sub-07	Language	MNISymPontine1
0.015469491512398474	0.031197967099371216	0.9533325413882304	sub-08	Language	MNISymPontine1
0.010145507562323733	0.019650294126959313	0.9702041983107169	sub-09	Language	MNISymPontine1
0.012182420465462572	0.03560361111981218	0.9522139684147253	sub-10	Language	MNISymPontine1
0.008530820511363836	0.03418901645736934	0.9572801630312668	sub-12	Language	MNISymPontine1
0.01266112300464073	0.027886500262717835	0.9594523767326414	sub-13	Language	MNISymPontine1
0.02246366929290242	0.11901080430086992	0.8585255264062277	sub-14	Language	MNISymPontine1
0.017097202138269815	0.07059150424429499	0.9123112936174351	sub-15	Language	MNISymPontine1
0.01571320324080404	0.0010479489121868774	0.9832388478470091	sub-16	Language	MNISymPontine1
0.02448754308908966	0.06962960159110876	0.9058828553198015	sub-17	Language	MNISymPontine1
0.006967137699512563	0.036778141124280336	0.9562547211762071	sub-18	Language	MNISymPontine1
0.03251863198376476	0.14730223446712706	0.8201791335491082	sub-19	Language	MNISymPontine1
0.01470543259759796	0.07880157046297563	0.9064929969394264	sub-01	Language	MNISymRedNucleus1
0.014004946168185607	0.061332563993821046	0.9246624898379934	sub-02	Language	MNISymRedNucleus1
0.002405020990520186	-0.012628815147847484	1.0102237941573273	sub-03	Language	MNISymRedNucleus1
0.016292157719248555	0.02895159578627177	0.9547562464944795	sub-04	Language	MNISymRedNucleus1
0.014212440460173573	-0.0026856055745514704	0.9884731651143779	sub-06	Language	MNISymRedNucleus1
0.012787227393583959	0.0865285009359701	0.900684271670446	sub-07	Language	MNISymRedNucleus1
0.006146175485020455	0.03554993691606143	0.958303887598918	sub-08	Language	MNISymRedNucleus1
0.017155988934519015	0.002992727744664227	0.9798512833208168	sub-09	Language	MNISymRedNucleus1
0.012725984993913586	0.042752694984716955	0.9445213200213695	sub-10	Language	MNISymRedNucleus1
0.016561734738985246	0.030478435253915286	0.9529598300070994	sub-12	Language	MNISymRedNucleus1
0.02080211863641777	0.042955636310133306	0.9362422450534489	sub-13	Language	MNISymRedNucleus1
0.012423740964069509	0.03321347021143059	0.9543627888244999	sub-14	Language	MNISymRedNucleus1
0.015494006013097548	0.02079322853737685	0.9637127654495257	sub-15	Language	MNISymRedNucleus1
0.014777526150627301	0.031606741807307846	0.9536157320420648	sub-16	Language	MNISymRedNucleus1
0.013648541328844733	0.028231327404300385	0.9581201312668549	sub-17	Language	MNISymRedNucleus1
0.010282820878506285	0.021367595501460952	0.9683495836200328	sub-18	Language	MNISymRedNucleus1
0.011587154765610367	0.030578047111012144	0.9578347981233776	sub-19	Language	MNISymRedNucleus1
0.021526687360814683	0.12032273318550023	0.8581505794536851	sub-01	Language	MNISymOlive1
0.004191082422949641	0.13088340718132951	0.8649255103957209	sub-02	Language	MNISymOlive1
0.0056357785036086966	-0.01612095448540381	1.010485175981795	sub-03	Language	MNISymOlive1
0.02799650757513402	0.1277699659551787	0.8442335264696873	sub-04	Language	MNISymOlive1
0.011363511776176016	0.03531432233138156	0.9533221658924423	sub-06	Language	MNISymOlive1
0.010869383134294749	0.11408173467353998	0.8750488821921653	sub-07	Language	MNISymOlive1
0.0014233145289297118	0.11206489329034339	0.8865117921807268	sub-08	Language	MNISymOlive1
0.00942256865072862	0.018352440461674613	0.9722249908875967	sub-09	Language	MNISymOlive1
0.012142994877403177	0.048410809359484094	0.9394461957631126	sub-10	Language	MNISymOlive1
0.013750960407527846	0.09016555701456924	0.8960834825779029	sub-12	Language	MNISymOlive1
0.014584856253207814	0.014139823377553151	0.971275320369239	sub-13	Language	MNISymOlive1
0.01829955244239423	0.16443220578252266	0.8172682417750832	sub-14	Language	MNISymOlive1
0.02754839107458359	0.06920648106153823	0.9032451278638782	sub-15	Language	MNISymOlive1
0.013360744505258176	0.009709181774297228	0.9769300737204447	sub-16	Language	MNISymOlive1
0.038170729030207594	0.11358090282985626	0.8482483681399361	sub-17	Language	MNISymOlive1
0.026847733785814464	0.04954641961336844	0.9236058466008171	sub-18	Language	MNISymOlive1
0.04681440761442951	0.18061110123824287	0.7725744911473277	sub-19	Language	MNISymOlive1
